id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_tested,sound_target,figure_response,occupation,figure_target,figure_score,color_target,timestamp,simulate,figure_tested,position_target,color_response,sound_tested,sound_response,position_response,position_tested,position_score,sound_score,color_score
fugl ,female,28,training_transfer,training,ps2,2,2,50,0,white,circle,sounds\P.wav,0,0,,Studerende,,,,1554967718671,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,51,6,white,circle,sounds\C.wav,0,0,,Studerende,,,,1554967721201,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,52,4,white,circle,sounds\B.wav,0,0,,Studerende,,,,1554967723731,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,53,6,white,circle,sounds\V.wav,0,0,,Studerende,,,,1554967726271,no,0,1,,1,0,0,1,0,1,
fugl ,female,28,training_transfer,training,ps2,2,2,54,4,white,circle,sounds\B.wav,0,1,,Studerende,,,,1554967728811,no,0,1,,1,0,0,1,0,0,
fugl ,female,28,training_transfer,training,ps2,2,2,55,7,white,circle,sounds\T.wav,0,0,,Studerende,,,,1554967731341,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,56,4,white,circle,sounds\G.wav,0,0,,Studerende,,,,1554967733861,no,0,1,,1,0,0,1,0,1,
fugl ,female,28,training_transfer,training,ps2,2,2,57,0,white,circle,sounds\G.wav,0,0,,Studerende,,,,1554967736401,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,58,3,white,circle,sounds\P.wav,0,0,,Studerende,,,,1554967738931,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,59,7,white,circle,sounds\V.wav,0,0,,Studerende,,,,1554967741471,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,60,5,white,circle,sounds\B.wav,0,0,,Studerende,,,,1554967744001,no,0,0,,1,1,0,1,1,0,
fugl ,female,28,training_transfer,training,ps2,2,2,61,4,white,circle,sounds\C.wav,0,0,,Studerende,,,,1554967746521,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,62,6,white,circle,sounds\V.wav,0,0,,Studerende,,,,1554967749051,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,posttest,pc2,2,2,1,6,green,circle,,1,,,Studerende,,,0,1554967772891,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,2,8,green,circle,,1,,,Studerende,,,0,1554967775451,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,3,2,blue,circle,,1,,,Studerende,,,0,1554967778011,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,4,5,green,circle,,1,,,Studerende,,,1,1554967780571,no,0,0,0,0,,0,1,1,,0
fugl ,female,28,training_transfer,posttest,pc2,2,2,5,2,blue,circle,,1,,,Studerende,,,1,1554967783151,no,0,1,0,0,,1,1,1,,0
fugl ,female,28,training_transfer,posttest,pc2,2,2,6,2,yellow,circle,,1,,,Studerende,,,0,1554967785711,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,7,2,green,circle,,1,,,Studerende,,,0,1554967788291,no,0,1,0,0,,1,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,8,4,red,circle,,1,,,Studerende,,,0,1554967790851,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,9,6,red,circle,,1,,,Studerende,,,0,1554967793411,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,10,1,white,circle,,1,,,Studerende,,,0,1554967795971,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,11,6,yellow,circle,,1,,,Studerende,,,0,1554967798531,no,0,1,0,0,,0,1,0,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,12,4,green,circle,,1,,,Studerende,,,0,1554967801091,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,13,5,white,circle,,1,,,Studerende,,,0,1554967803651,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,14,3,green,circle,,1,,,Studerende,,,1,1554967806211,no,0,0,0,0,,0,1,1,,0
fugl ,female,28,training_transfer,posttest,pc2,2,2,15,2,dimgray,circle,,1,,,Studerende,,,0,1554967808771,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,16,2,white,circle,,1,,,Studerende,,,0,1554967811331,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,17,3,white,circle,,1,,,Studerende,,,0,1554967813891,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,18,3,white,circle,,1,,,Studerende,,,1,1554967816491,no,0,0,1,0,,1,1,0,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,19,5,blue,circle,,1,,,Studerende,,,0,1554967819051,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,20,4,darkorange,circle,,1,,,Studerende,,,0,1554967821611,no,0,0,0,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,21,2,blue,circle,,1,,,Studerende,,,1,1554967824191,no,0,0,1,0,,0,1,1,,1
fugl ,female,28,training_transfer,posttest,pc2,2,2,22,0,green,circle,,1,,,Studerende,,,0,1554967826751,no,0,0,0,0,,0,1,1,,1
