id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,figure_tested,simulate,color_tested,figure_response,figure_target,sound_tested,sound_response,color_score,color_target,timestamp,position_tested,position_target,occupation,figure_score,sound_score,sound_target,color_response,position_response
Haj ,female,21,training_train,pretest,pcfs12,4,1,43,0,white,square,sounds\P.wav,1,1,no,1,0,0,1,0,1,0,1554813395212,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,44,1,blue,circle,sounds\P.wav,1,1,no,1,1,0,1,0,1,0,1554813398779,1,0,Studerende,0,0,1,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,45,4,green,triangle,sounds\P.wav,1,1,no,1,0,0,1,1,1,0,1554813402345,1,0,Studerende,1,1,1,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,46,2,blue,star,sounds\B.wav,1,1,no,1,0,0,1,0,0,0,1554813405912,1,0,Studerende,1,1,0,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,47,2,red,star,sounds\P.wav,1,1,no,1,1,1,1,0,1,0,1554813409495,1,1,Studerende,1,1,0,0,1
Haj ,female,21,training_train,pretest,pcfs12,4,1,48,2,dimgray,circle,sounds\V.wav,1,1,no,1,0,0,1,0,1,0,1554813413063,1,1,Studerende,1,1,0,0,1
Haj ,female,21,training_train,pretest,pcfs12,4,1,49,6,yellow,star,sounds\C.wav,1,1,no,1,0,0,1,0,1,0,1554813416612,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,50,1,yellow,star,sounds\E.wav,1,1,no,1,0,1,1,0,1,1,1554813420179,1,0,Studerende,0,1,0,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,51,1,blue,circle,sounds\V.wav,1,1,no,1,0,0,1,0,1,0,1554813423746,1,1,Studerende,1,1,0,0,1
Haj ,female,21,training_train,pretest,pcfs12,4,1,52,6,yellow,square,sounds\T.wav,1,1,no,1,0,0,1,0,1,0,1554813427296,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,53,8,yellow,circle,sounds\T.wav,1,1,no,1,0,0,1,0,1,1,1554813430863,1,0,Studerende,1,0,1,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,54,8,darkorange,star,sounds\D.wav,1,1,no,1,0,0,1,0,1,0,1554813434430,1,1,Studerende,1,1,0,0,1
Haj ,female,21,training_train,pretest,pcfs12,4,1,55,8,darkorange,star,sounds\G.wav,1,1,no,1,1,1,1,0,1,1,1554813438030,1,1,Studerende,1,1,0,1,1
Haj ,female,21,training_train,pretest,pcfs12,4,1,56,2,red,triangle,sounds\G.wav,1,1,no,1,0,0,1,1,1,0,1554813441596,1,0,Studerende,1,1,1,0,0
