id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_tested,sound_response,position_score,figure_score,sound_score,position_response,figure_response,color_target,color_response,figure_target,color_score,sound_tested,position_tested,timestamp,simulate,figure_tested,position_target,sound_target,occupation
Jaguar,female,25,training_transfer,pretest,pc2,2,2,30,5,green,circle,,1,,1,,,0,,0,1,,0,0,1,1554902832298,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,31,8,darkorange,circle,,1,,0,,,1,,0,0,,1,0,1,1554902834888,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,32,7,darkorange,circle,,1,,0,,,1,,0,0,,1,0,1,1554902837491,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,33,3,white,circle,,1,,1,,,0,,0,0,,1,0,1,1554902840075,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,34,4,darkorange,circle,,1,,1,,,0,,1,0,,0,0,1,1554902842646,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,35,6,red,circle,,1,,1,,,0,,0,0,,1,0,1,1554902845221,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,36,4,darkorange,circle,,1,,1,,,1,,1,1,,1,0,1,1554902847822,no,0,1,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,37,8,green,circle,,1,,1,,,0,,0,0,,1,0,1,1554902850399,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,38,6,white,circle,,1,,0,,,1,,0,0,,1,0,1,1554902852991,no,0,0,,I arbejde
Jaguar,female,25,training_transfer,pretest,pc2,2,2,39,8,green,circle,,1,,1,,,1,,1,1,,1,0,1,1554902855592,no,0,1,,I arbejde
