id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_score,position_score,sound_tested,figure_tested,sound_target,position_response,figure_response,sound_response,sound_score,color_tested,figure_score,simulate,figure_target,position_tested,occupation,position_target,color_response,color_target,timestamp
abe,female,22,training_transfer,pretest,pcfs12,4,1,59,1,dimgray,triangle,sounds/T.wav,1,1,1,1,0,0,1,0,1,1,1,no,1,1,Studerende,0,0,0,1555062074657
abe,female,22,training_transfer,pretest,pcfs12,4,1,60,6,darkorange,square,sounds/T.wav,1,1,1,1,1,0,0,1,1,1,1,no,0,1,Studerende,0,0,0,1555062078259
abe,female,22,training_transfer,pretest,pcfs12,4,1,61,6,red,square,sounds/G.wav,1,1,1,1,0,1,0,0,1,1,0,no,1,1,Studerende,1,0,0,1555062081859
abe,female,22,training_transfer,training,ps2,2,2,1,0,white,circle,sounds/T.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062189916
abe,female,22,training_transfer,training,ps2,2,2,2,0,white,circle,sounds/D.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062192497
abe,female,22,training_transfer,training,ps2,2,2,3,0,white,circle,sounds/P.wav,,0,1,0,0,0,,0,1,0,,no,,1,Studerende,1,,,1555062195065
abe,female,22,training_transfer,training,ps2,2,2,4,2,white,circle,sounds/C.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062197631
abe,female,22,training_transfer,training,ps2,2,2,5,8,white,circle,sounds/V.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062200215
abe,female,22,training_transfer,training,ps2,2,2,6,5,white,circle,sounds/B.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062202801
abe,female,22,training_transfer,training,ps2,2,2,7,8,white,circle,sounds/B.wav,,0,1,0,0,0,,0,1,0,,no,,1,Studerende,1,,,1555062205384
abe,female,22,training_transfer,training,ps2,2,2,8,7,white,circle,sounds/T.wav,,1,1,0,0,0,,1,0,0,,no,,1,Studerende,0,,,1555062207985
abe,female,22,training_transfer,training,ps2,2,2,9,7,white,circle,sounds/T.wav,,0,1,0,0,1,,0,1,0,,no,,1,Studerende,0,,,1555062210565
abe,female,22,training_transfer,training,ps2,2,2,10,2,white,circle,sounds/V.wav,,1,1,0,0,0,,1,0,0,,no,,1,Studerende,0,,,1555062213169
abe,female,22,training_transfer,training,ps2,2,2,11,3,white,circle,sounds/D.wav,,1,1,0,0,0,,0,1,0,,no,,1,Studerende,0,,,1555062215752
abe,female,22,training_transfer,training,ps2,2,2,12,2,white,circle,sounds/C.wav,,1,1,0,0,1,,1,0,0,,no,,1,Studerende,1,,,1555062218368
