id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_score,position_tested,position_target,timestamp,sound_tested,position_score,figure_response,color_score,simulate,sound_response,occupation,sound_target,color_target,color_response,position_response,sound_score,color_tested,figure_target,figure_tested
ugle,male,26,training_train,practice,pcfs1,4,1,11,6,darkorange,circle,sounds/C.wav,1,1,1,1555698010591,1,0,0,1,no,0,I arbejde,1,0,0,0,0,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,12,1,white,circle,sounds/T.wav,0,1,0,1555698014193,1,1,0,1,no,0,I arbejde,0,0,0,0,1,1,1,1
ugle,male,26,training_train,practice,pcfs1,4,1,13,4,yellow,triangle,sounds/G.wav,1,1,0,1555698017778,1,1,0,1,no,0,I arbejde,0,0,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,14,8,red,triangle,sounds/C.wav,0,1,0,1555698021409,1,0,0,0,no,0,I arbejde,0,0,1,1,1,1,1,1
ugle,male,26,training_train,practice,pcfs1,4,1,15,0,dimgray,star,sounds/V.wav,1,1,0,1555698024999,1,1,0,1,no,0,I arbejde,0,0,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,16,3,dimgray,triangle,sounds/G.wav,0,1,0,1555698028599,1,1,1,0,no,0,I arbejde,0,1,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,17,4,yellow,circle,sounds/B.wav,1,1,0,1555698032185,1,1,0,1,no,0,I arbejde,0,0,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,18,4,dimgray,star,sounds/D.wav,1,1,1,1555698035788,1,0,0,0,no,0,I arbejde,0,0,1,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,19,4,white,square,sounds/D.wav,1,1,1,1555698039373,1,0,0,1,no,0,I arbejde,1,0,0,0,0,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,20,7,white,triangle,sounds/P.wav,1,1,0,1555698042957,1,1,0,0,no,0,I arbejde,0,1,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,21,7,dimgray,star,sounds/C.wav,1,1,1,1555698046542,1,0,0,1,no,0,I arbejde,0,0,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,22,4,dimgray,circle,sounds/D.wav,0,1,0,1555698050170,1,1,1,1,no,0,I arbejde,0,1,1,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,23,8,blue,circle,sounds/E.wav,0,1,0,1555698053764,1,1,0,1,no,0,I arbejde,0,0,0,0,1,1,1,1
ugle,male,26,training_train,practice,pcfs1,4,1,24,1,dimgray,square,sounds/D.wav,1,1,0,1555698057349,1,1,0,1,no,0,I arbejde,0,0,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,25,3,white,triangle,sounds/V.wav,1,1,0,1555698060933,1,1,0,1,no,0,I arbejde,0,0,0,0,1,1,0,1
ugle,male,26,training_train,practice,pcfs1,4,1,26,8,darkorange,triangle,sounds/G.wav,1,1,0,1555698064544,1,1,1,1,no,0,I arbejde,0,0,0,0,1,1,1,1
ugle,male,26,training_train,practice,pcfs1,4,1,27,1,darkorange,star,sounds/P.wav,1,1,0,1555698068138,1,1,0,0,no,0,I arbejde,0,1,0,0,1,1,0,1
