id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_target,color_target,position_tested,color_score,sound_score,sound_tested,figure_tested,occupation,position_target,color_tested,figure_score,figure_target,sound_response,position_score,simulate,position_response,color_response,figure_response
Emu,female,19,training_train,pretest,pc2,2,2,34,7,green,circle,,1554812016769,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,35,5,white,circle,,1554812019343,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,36,4,yellow,circle,,1554812021915,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,37,6,blue,circle,,1554812024490,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,38,4,red,circle,,1554812027073,,0,1,0,,0,0,Studerende,1,1,,,,0,no,0,1,
Emu,female,19,training_train,pretest,pc2,2,2,39,1,red,circle,,1554812029654,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,40,5,dimgray,circle,,1554812032228,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,41,2,dimgray,circle,,1554812034820,,0,1,0,,0,0,Studerende,0,1,,,,1,no,0,1,
Emu,female,19,training_train,pretest,pc2,2,2,42,5,dimgray,circle,,1554812037406,,1,1,1,,0,0,Studerende,1,1,,,,0,no,0,1,
Emu,female,19,training_train,pretest,pc2,2,2,43,5,yellow,circle,,1554812039981,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,44,0,green,circle,,1554812042556,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,45,1,blue,circle,,1554812045130,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,46,3,yellow,circle,,1554812047742,,0,1,0,,0,0,Studerende,0,1,,,,1,no,0,1,
Emu,female,19,training_train,pretest,pc2,2,2,47,4,red,circle,,1554812050308,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,48,4,green,circle,,1554812052882,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,49,5,white,circle,,1554812055457,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
Emu,female,19,training_train,pretest,pc2,2,2,50,7,yellow,circle,,1554812058029,,0,1,1,,0,0,Studerende,0,1,,,,1,no,0,0,
