id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,color_score,color_target,sound_target,position_response,figure_tested,occupation,sound_tested,position_tested,sound_score,color_response,color_tested,figure_target,figure_score,figure_response,timestamp,position_score,simulate,sound_response
Lama,male,22,training_transfer,pretest,pcs1,3,1,46,6,dimgray,circle,sounds/V.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981972899,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,47,7,green,circle,sounds/C.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981976509,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,48,6,white,circle,sounds/G.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981980119,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,49,5,green,circle,sounds/C.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981983715,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,50,3,red,circle,sounds/G.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981987326,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,51,8,blue,circle,sounds/P.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981990939,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,52,8,yellow,circle,sounds/T.wav,1,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981994550,0,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,53,3,red,circle,sounds/P.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981998158,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,54,5,blue,circle,sounds/B.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554982001774,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,55,5,red,circle,sounds/B.wav,1,1,0,1,1,0,Studerende,1,1,0,0,1,,,,1554982005408,1,no,0
