id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,figure_score,color_response,color_tested,sound_response,figure_response,simulate,sound_tested,color_target,color_score,position_score,figure_target,position_target,timestamp,sound_target,figure_tested,occupation,position_tested,sound_score
chimpanse,female,,training_train,pretest,fcs1,3,1,16,4,red,star,sounds/E.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798644646,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,17,4,white,star,sounds/P.wav,,1,0,1,0,1,no,1,0,1,,1,,1554798648254,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,18,4,dimgray,square,sounds/G.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798651847,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,19,4,yellow,square,sounds/G.wav,,0,0,1,1,0,no,1,0,1,,1,,1554798655467,1,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,20,4,red,triangle,sounds/G.wav,,1,0,1,1,0,no,1,0,1,,1,,1554798659072,1,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,21,4,yellow,circle,sounds/B.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798662666,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,22,4,white,circle,sounds/C.wav,,1,0,1,0,1,no,1,0,1,,1,,1554798666288,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,23,4,yellow,circle,sounds/G.wav,,1,0,1,0,1,no,1,0,1,,1,,1554798669899,0,1,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,24,4,yellow,triangle,sounds/G.wav,,1,1,1,1,0,no,1,1,1,,1,,1554798673516,1,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,25,4,yellow,square,sounds/V.wav,,1,1,1,0,0,no,1,1,1,,1,,1554798677135,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,26,4,blue,triangle,sounds/V.wav,,1,0,1,1,0,no,1,0,1,,1,,1554798680755,1,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,27,4,blue,circle,sounds/P.wav,,1,0,1,0,0,no,1,1,0,,1,,1554798684351,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,28,4,green,star,sounds/T.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798687950,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,29,4,yellow,triangle,sounds/E.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798691552,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,30,4,green,square,sounds/B.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798695152,0,0,Studerende,0,1
chimpanse,female,,training_train,pretest,fcs1,3,1,31,4,dimgray,square,sounds/B.wav,,1,0,1,0,1,no,1,0,1,,1,,1554798698771,1,1,Studerende,0,0
chimpanse,female,,training_train,pretest,fcs1,3,1,32,4,green,circle,sounds/T.wav,,1,0,1,0,0,no,1,0,1,,1,,1554798702368,0,0,Studerende,0,1
