id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,sound_response,color_tested,position_tested,color_score,figure_tested,timestamp,position_score,occupation,figure_response,color_response,figure_target,figure_score,sound_target,color_target,position_target,sound_tested,sound_score,simulate
Leopard,male,23,training_train,pretest,fc2,2,2,29,4,yellow,triangle,,,,1,0,1,1,1555399064272,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,30,4,darkorange,circle,,,,1,0,1,1,1555399066838,,Studerende,0,1,0,1,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,31,4,green,triangle,,,,1,0,1,1,1555399069404,,Studerende,1,0,1,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,32,4,darkorange,triangle,,,,1,0,0,1,1555399071955,,Studerende,0,0,0,1,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,33,4,red,triangle,,,,1,0,1,1,1555399074521,,Studerende,1,0,1,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,34,4,red,triangle,,,,1,0,1,1,1555399077089,,Studerende,1,0,1,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,35,4,dimgray,square,,,,1,0,1,1,1555399079639,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,36,4,blue,triangle,,,,1,0,1,1,1555399082205,,Studerende,1,0,1,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,37,4,red,triangle,,,,1,0,1,1,1555399084755,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,38,4,green,triangle,,,,1,0,1,1,1555399087321,,Studerende,1,0,1,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,39,4,dimgray,star,,,,1,0,1,1,1555399089872,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,40,4,green,triangle,,,,1,0,1,1,1555399092455,,Studerende,1,1,1,1,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,41,4,green,square,,,,1,0,1,1,1555399095006,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,42,4,dimgray,star,,,,1,0,0,1,1555399097589,,Studerende,1,1,0,0,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,43,4,dimgray,circle,,,,1,0,1,1,1555399100139,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,44,4,darkorange,triangle,,,,1,0,1,1,1555399102689,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,45,4,blue,square,,,,1,0,1,1,1555399105239,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,46,4,blue,circle,,,,1,0,1,1,1555399107789,,Studerende,0,0,0,1,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,47,4,blue,square,,,,1,0,1,1,1555399110355,,Studerende,0,1,1,0,,1,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,48,4,yellow,square,,,,1,0,1,1,1555399112923,,Studerende,1,0,0,0,,0,,0,,no
Leopard,male,23,training_train,pretest,fc2,2,2,49,4,blue,star,,,,1,0,1,1,1555399115489,,Studerende,0,1,0,1,,1,,0,,no
