id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_response,position_response,color_score,sound_tested,position_score,figure_response,simulate,color_tested,figure_score,occupation,sound_target,position_target,figure_target,color_target,sound_score,color_response,figure_tested,position_tested
Pingvin,male,23,training_train,practice,pcfs1,4,1,29,0,white,star,sounds\P.wav,1555413974325,0,1,1,1,1,0,no,1,1,I arbejde,0,1,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,30,0,blue,circle,sounds\P.wav,1555413977908,1,1,1,1,1,0,no,1,1,I arbejde,1,1,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,31,5,blue,circle,sounds\B.wav,1555413981491,0,0,1,1,1,1,no,1,1,I arbejde,0,0,1,1,1,1,1,1
Pingvin,male,23,training_train,pretest,pc2,2,2,1,5,yellow,circle,,1555414008525,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,2,8,green,circle,,1555414011079,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,3,5,red,circle,,1555414013645,,1,1,0,1,,no,1,,I arbejde,,1,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,4,3,green,circle,,1555414016211,,0,1,0,1,,no,1,,I arbejde,,0,,1,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,5,5,green,circle,,1555414018768,,0,1,0,0,,no,1,,I arbejde,,1,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,6,4,darkorange,circle,,1555414021311,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,7,1,green,circle,,1555414023861,,0,0,0,1,,no,1,,I arbejde,,0,,1,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,8,7,dimgray,circle,,1555414026411,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,9,1,green,circle,,1555414028995,,1,1,0,1,,no,1,,I arbejde,,1,,1,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,10,3,darkorange,circle,,1555414031545,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,11,0,green,circle,,1555414034095,,0,0,0,1,,no,1,,I arbejde,,0,,1,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,12,4,blue,circle,,1555414036645,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,13,5,white,circle,,1555414039195,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,14,0,green,circle,,1555414041745,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,15,0,dimgray,circle,,1555414044296,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,16,0,blue,circle,,1555414046862,,0,0,0,0,,no,1,,I arbejde,,1,,0,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,17,1,blue,circle,,1555414049412,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,18,7,red,circle,,1555414051962,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,19,1,white,circle,,1555414054545,,1,0,0,1,,no,1,,I arbejde,,1,,0,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,20,2,darkorange,circle,,1555414057095,,0,1,0,1,,no,1,,I arbejde,,0,,0,,0,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,21,1,blue,circle,,1555414059679,,1,0,0,1,,no,1,,I arbejde,,1,,0,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,22,8,dimgray,circle,,1555414062247,,0,0,0,1,,no,1,,I arbejde,,0,,0,,1,0,1
Pingvin,male,23,training_train,pretest,pc2,2,2,23,1,dimgray,circle,,1555414064797,,0,1,0,0,,no,1,,I arbejde,,1,,0,,0,0,1
