id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_response,position_target,figure_tested,timestamp,sound_target,color_tested,sound_response,color_score,figure_target,sound_score,sound_tested,figure_score,simulate,position_response,occupation,color_target,position_score,color_response,position_tested
Orangutan,male,55,training_transfer,training,ps2,2,2,25,4,white,circle,sounds\G.wav,,0,0,1555675410777,1,0,1,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,26,8,white,circle,sounds\T.wav,,0,0,1555675413327,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,27,8,white,circle,sounds\T.wav,,0,0,1555675415877,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,28,2,white,circle,sounds\V.wav,,0,0,1555675418427,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,29,2,white,circle,sounds\G.wav,,0,0,1555675420983,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,30,1,white,circle,sounds\V.wav,,0,0,1555675423544,1,0,1,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,31,7,white,circle,sounds\E.wav,,0,0,1555675426094,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,32,1,white,circle,sounds\V.wav,,1,0,1555675428644,1,0,0,,,0,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,33,3,white,circle,sounds\D.wav,,0,0,1555675431194,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,34,5,white,circle,sounds\V.wav,,0,0,1555675433744,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,35,3,white,circle,sounds\D.wav,,1,0,1555675436295,1,0,0,,,0,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,36,1,white,circle,sounds\P.wav,,0,0,1555675438845,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,37,7,white,circle,sounds\T.wav,,0,0,1555675441395,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,38,2,white,circle,sounds\P.wav,,0,0,1555675443945,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,39,2,white,circle,sounds\G.wav,,0,0,1555675446494,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,40,0,white,circle,sounds\E.wav,,0,0,1555675449044,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,41,6,white,circle,sounds\B.wav,,0,0,1555675451594,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,42,1,white,circle,sounds\C.wav,,0,0,1555675454145,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,43,0,white,circle,sounds\B.wav,,0,0,1555675456711,1,0,1,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,44,1,white,circle,sounds\C.wav,,1,0,1555675459262,1,0,0,,,0,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,45,0,white,circle,sounds\P.wav,,1,0,1555675461812,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,46,6,white,circle,sounds\T.wav,,0,0,1555675464362,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,47,0,white,circle,sounds\C.wav,,1,0,1555675466911,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,48,2,white,circle,sounds\C.wav,,0,0,1555675469461,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,49,0,white,circle,sounds\P.wav,,1,0,1555675472012,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,50,1,white,circle,sounds\D.wav,,0,0,1555675474562,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,51,7,white,circle,sounds\D.wav,,0,0,1555675477112,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,52,1,white,circle,sounds\E.wav,,1,0,1555675479662,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,53,1,white,circle,sounds\D.wav,,0,0,1555675482212,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,54,4,white,circle,sounds\B.wav,,0,0,1555675484762,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,55,1,white,circle,sounds\T.wav,,1,0,1555675487312,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,56,2,white,circle,sounds\P.wav,,0,0,1555675489863,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,57,2,white,circle,sounds\C.wav,,0,0,1555675492413,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,58,1,white,circle,sounds\P.wav,,0,0,1555675494979,1,0,1,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,59,2,white,circle,sounds\P.wav,,1,0,1555675497579,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,60,3,white,circle,sounds\E.wav,,0,0,1555675500129,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,61,2,white,circle,sounds\B.wav,,1,0,1555675502679,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,62,3,white,circle,sounds\C.wav,,1,0,1555675505229,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,1,6,white,circle,sounds\C.wav,,0,0,1555675617315,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,2,5,white,circle,sounds\V.wav,,0,0,1555675619865,0,0,0,,,1,1,,no,0,Andet,,1,,1
