id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_tested,position_score,simulate,figure_response,figure_score,sound_tested,color_tested,sound_target,position_target,figure_target,position_response,color_target,sound_response,color_response,sound_score,occupation,figure_tested,color_score,timestamp
Egern,male,23,training_train,practice,pcfs1,4,1,6,5,darkorange,square,sounds/B.wav,1,1,no,1,1,1,1,1,0,1,0,0,0,0,0,I arbejde,1,1,1555352012052
Egern,male,23,training_train,practice,pcfs1,4,1,7,4,darkorange,triangle,sounds/B.wav,1,1,no,0,1,1,1,1,0,0,0,1,1,0,1,I arbejde,1,0,1555352015660
Egern,male,23,training_train,practice,pcfs1,4,1,8,2,dimgray,triangle,sounds/P.wav,1,1,no,0,0,1,1,0,0,1,0,0,0,0,1,I arbejde,1,1,1555352019248
Egern,male,23,training_train,practice,pcfs1,4,1,9,4,green,square,sounds/B.wav,1,1,no,0,1,1,1,0,0,0,0,0,0,0,1,I arbejde,1,1,1555352022841
Egern,male,23,training_train,practice,pcfs1,4,1,10,4,green,star,sounds/B.wav,1,1,no,0,1,1,1,1,1,0,1,1,1,0,1,I arbejde,1,0,1555352026463
Egern,male,23,training_train,practice,pcfs1,4,1,11,1,darkorange,star,sounds/G.wav,1,1,no,0,0,1,1,0,0,1,0,0,0,0,1,I arbejde,1,1,1555352030060
Egern,male,23,training_train,practice,pcfs1,4,1,12,5,blue,triangle,sounds/G.wav,1,1,no,0,1,1,1,1,0,0,0,0,1,0,1,I arbejde,1,1,1555352033676
Egern,male,23,training_train,practice,pcfs1,4,1,13,3,blue,square,sounds/P.wav,1,0,no,0,1,1,1,0,0,0,1,1,0,1,1,I arbejde,1,1,1555352037296
Egern,male,23,training_train,practice,pcfs1,4,1,14,8,dimgray,star,sounds/P.wav,1,1,no,1,0,1,1,1,0,0,0,0,0,0,0,I arbejde,1,1,1555352040898
Egern,male,23,training_train,practice,pcfs1,4,1,15,7,white,square,sounds/V.wav,1,1,no,0,1,1,1,0,0,0,0,0,0,0,1,I arbejde,1,1,1555352044482
Egern,male,23,training_train,practice,pcfs1,4,1,16,2,white,circle,sounds/C.wav,1,1,no,0,1,1,1,0,0,0,0,1,0,1,1,I arbejde,1,1,1555352048088
Egern,male,23,training_train,practice,pcfs1,4,1,17,2,white,square,sounds/G.wav,1,0,no,0,1,1,1,0,1,0,0,1,0,1,1,I arbejde,1,1,1555352051698
Egern,male,23,training_train,practice,pcfs1,4,1,18,2,blue,triangle,sounds/C.wav,1,1,no,0,1,1,1,0,1,0,1,0,0,0,1,I arbejde,1,1,1555352055303
Egern,male,23,training_train,practice,pcfs1,4,1,19,4,red,triangle,sounds/G.wav,1,1,no,0,0,1,1,0,0,1,0,0,0,0,1,I arbejde,1,1,1555352058888
Egern,male,23,training_train,practice,pcfs1,4,1,20,4,green,triangle,sounds/V.wav,1,0,no,1,1,1,1,0,1,1,0,0,0,0,1,I arbejde,1,1,1555352062490
Egern,male,23,training_train,practice,pcfs1,4,1,21,0,darkorange,circle,sounds/E.wav,1,1,no,0,1,1,1,0,0,0,0,0,0,0,1,I arbejde,1,1,1555352066089
Egern,male,23,training_train,practice,pcfs1,4,1,22,4,green,square,sounds/E.wav,1,1,no,0,1,1,1,1,0,0,0,0,0,0,0,I arbejde,1,1,1555352069683
Egern,male,23,training_train,practice,pcfs1,4,1,23,4,blue,star,sounds/V.wav,1,0,no,0,1,1,1,0,1,0,0,0,0,0,1,I arbejde,1,1,1555352073276
