id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,simulate,position_target,sound_target,figure_target,timestamp,figure_score,figure_tested,figure_response,color_tested,color_target,sound_tested,position_tested,sound_response,sound_score,position_response,occupation,color_score,color_response
Gnu,male,22,training_train,pretest,pc2,2,2,9,2,yellow,circle,,1,no,0,,,1554986586483,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,10,0,white,circle,,1,no,0,,,1554986589058,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,11,5,yellow,circle,,1,no,0,,,1554986591629,,0,,1,1,0,1,,,0,Studerende,0,0
Gnu,male,22,training_train,pretest,pc2,2,2,12,5,green,circle,,0,no,0,,,1554986594230,,0,,1,0,0,1,,,1,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,13,5,dimgray,circle,,1,no,1,,,1554986596831,,0,,1,0,0,1,,,1,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,14,6,red,circle,,1,no,0,,,1554986599402,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,15,5,darkorange,circle,,0,no,1,,,1554986601974,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,16,1,darkorange,circle,,1,no,0,,,1554986604555,,0,,1,0,0,1,,,0,Studerende,0,1
Gnu,male,22,training_train,pretest,pc2,2,2,17,3,darkorange,circle,,1,no,0,,,1554986607144,,0,,1,1,0,1,,,0,Studerende,1,1
Gnu,male,22,training_train,pretest,pc2,2,2,18,1,blue,circle,,0,no,1,,,1554986609712,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,19,3,yellow,circle,,0,no,1,,,1554986612287,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,20,7,blue,circle,,1,no,0,,,1554986614861,,0,,1,1,0,1,,,0,Studerende,0,0
Gnu,male,22,training_train,pretest,pc2,2,2,21,7,red,circle,,0,no,0,,,1554986617445,,0,,1,0,0,1,,,1,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,22,7,darkorange,circle,,1,no,1,,,1554986620034,,0,,1,0,0,1,,,1,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,23,6,yellow,circle,,1,no,0,,,1554986622614,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,24,6,darkorange,circle,,0,no,0,,,1554986625224,,0,,1,1,0,1,,,1,Studerende,1,1
Gnu,male,22,training_train,pretest,pc2,2,2,25,8,green,circle,,1,no,0,,,1554986627795,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,26,8,darkorange,circle,,0,no,0,,,1554986630379,,0,,1,1,0,1,,,1,Studerende,0,0
Gnu,male,22,training_train,pretest,pc2,2,2,27,0,blue,circle,,1,no,0,,,1554986632959,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,28,2,blue,circle,,1,no,0,,,1554986635531,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,29,6,blue,circle,,1,no,0,,,1554986638117,,0,,1,1,0,1,,,0,Studerende,1,1
Gnu,male,22,training_train,pretest,pc2,2,2,30,0,blue,circle,,1,no,0,,,1554986640709,,0,,1,1,0,1,,,0,Studerende,1,1
Gnu,male,22,training_train,pretest,pc2,2,2,31,6,white,circle,,0,no,1,,,1554986643287,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,32,0,blue,circle,,0,no,1,,,1554986645861,,0,,1,1,0,1,,,0,Studerende,0,0
Gnu,male,22,training_train,pretest,pc2,2,2,33,5,blue,circle,,1,no,0,,,1554986648456,,0,,1,0,0,1,,,0,Studerende,0,1
Gnu,male,22,training_train,pretest,pc2,2,2,34,1,dimgray,circle,,1,no,0,,,1554986651025,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,35,0,dimgray,circle,,1,no,0,,,1554986653620,,0,,1,0,0,1,,,0,Studerende,0,1
Gnu,male,22,training_train,pretest,pc2,2,2,36,0,green,circle,,1,no,0,,,1554986656189,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,37,1,white,circle,,0,no,0,,,1554986658786,,0,,1,0,0,1,,,1,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,38,6,white,circle,,1,no,0,,,1554986661384,,0,,1,0,0,1,,,0,Studerende,0,1
Gnu,male,22,training_train,pretest,pc2,2,2,39,7,dimgray,circle,,1,no,0,,,1554986663962,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,40,8,dimgray,circle,,1,no,0,,,1554986666557,,0,,1,0,0,1,,,0,Studerende,0,1
Gnu,male,22,training_train,pretest,pc2,2,2,41,1,dimgray,circle,,1,no,0,,,1554986669154,,0,,1,1,0,1,,,0,Studerende,1,1
Gnu,male,22,training_train,pretest,pc2,2,2,42,6,dimgray,circle,,1,no,0,,,1554986671735,,0,,1,1,0,1,,,0,Studerende,1,1
Gnu,male,22,training_train,pretest,pc2,2,2,43,5,yellow,circle,,1,no,0,,,1554986674304,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,44,7,green,circle,,1,no,0,,,1554986676878,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,45,6,red,circle,,1,no,0,,,1554986679450,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,46,4,blue,circle,,1,no,0,,,1554986682024,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,47,7,red,circle,,1,no,0,,,1554986684599,,0,,1,1,0,1,,,0,Studerende,0,0
Gnu,male,22,training_train,pretest,pc2,2,2,48,4,blue,circle,,0,no,1,,,1554986687188,,0,,1,1,0,1,,,0,Studerende,1,1
Gnu,male,22,training_train,pretest,pc2,2,2,49,7,darkorange,circle,,0,no,1,,,1554986689760,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,50,1,blue,circle,,1,no,0,,,1554986692358,,0,,1,1,0,1,,,0,Studerende,1,1
Gnu,male,22,training_train,pretest,pc2,2,2,51,4,blue,circle,,1,no,0,,,1554986694938,,0,,1,0,0,1,,,0,Studerende,0,1
Gnu,male,22,training_train,pretest,pc2,2,2,52,1,yellow,circle,,1,no,1,,,1554986697527,,0,,1,0,0,1,,,1,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,53,1,red,circle,,0,no,0,,,1554986700119,,0,,1,0,0,1,,,1,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,54,7,red,circle,,1,no,0,,,1554986702697,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,55,0,red,circle,,1,no,0,,,1554986705292,,0,,1,1,0,1,,,0,Studerende,1,1
Gnu,male,22,training_train,pretest,pc2,2,2,56,7,green,circle,,1,no,1,,,1554986707886,,0,,1,0,0,1,,,1,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,57,0,yellow,circle,,1,no,1,,,1554986710490,,0,,1,0,0,1,,,1,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,58,6,white,circle,,1,no,0,,,1554986713058,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,59,3,red,circle,,1,no,0,,,1554986715631,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,60,6,blue,circle,,0,no,1,,,1554986718205,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,61,1,white,circle,,1,no,0,,,1554986720780,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,pc2,2,2,62,2,darkorange,circle,,1,no,0,,,1554986723351,,0,,1,0,0,1,,,0,Studerende,1,0
Gnu,male,22,training_train,pretest,fc2,2,2,1,4,green,square,,,no,,,0,1554986728666,1,1,0,1,0,0,0,,,,Studerende,1,0
